pair_id,left_id,right_id,left,right,themes,status,relevance,comparison_type,priority,needs_detailed,visual_redgreen
ПАРА-198,D10,D19,Минэк страница,114-ФЗ,"T01, T02, T05, T06",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,нет
ПАРА-199,D10,D20,Минэк страница,ПП №2573,T01,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-200,D10,D21,Минэк страница,ПП №1510,"T02, T05",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,да
ПАРА-201,D10,D22,Минэк страница,ПП №1562,"T02, T05",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,да
ПАРА-202,D10,D23,Минэк страница,ПП №468,"T02, T05",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,да
ПАРА-203,D10,D24,Минэк страница,270-ФЗ,"T03, T04",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,нет
ПАРА-204,D10,D25,Минэк страница,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-205,D10,D26,Минэк страница,Договор ЕАЭС ст. 96-98,T06,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-206,D11,D12,115-ФЗ,НК РФ,"T04, T07, T09",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,нет
ПАРА-207,D11,D13,115-ФЗ,КоАП РФ,"T04, T07, T10",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,нет
ПАРА-208,D11,D14,115-ФЗ,121-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-209,D11,D15,115-ФЗ,260-ФЗ,T08,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-210,D11,D16,115-ФЗ,271-ФЗ,T09,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-211,D11,D17,115-ФЗ,Указ №467,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-212,D11,D18,115-ФЗ,Брошюра Минэка ВНЖ,T01,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-213,D11,D19,115-ФЗ,114-ФЗ,"T01, T06",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,нет
ПАРА-214,D11,D20,115-ФЗ,ПП №2573,T01,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-215,D11,D21,115-ФЗ,ПП №1510,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-216,D11,D22,115-ФЗ,ПП №1562,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-217,D11,D23,115-ФЗ,ПП №468,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-218,D11,D24,115-ФЗ,270-ФЗ,"T04, T09",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,нет
ПАРА-219,D11,D25,115-ФЗ,281-ФЗ,T10,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-220,D11,D26,115-ФЗ,Договор ЕАЭС ст. 96-98,T06,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-221,D12,D13,НК РФ,КоАП РФ,"T04, T07",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,нет
ПАРА-222,D12,D14,НК РФ,121-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-223,D12,D15,НК РФ,260-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-224,D12,D16,НК РФ,271-ФЗ,T09,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-225,D12,D17,НК РФ,Указ №467,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-226,D12,D18,НК РФ,Брошюра Минэка ВНЖ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-227,D12,D19,НК РФ,114-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-228,D12,D20,НК РФ,ПП №2573,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-229,D12,D21,НК РФ,ПП №1510,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-230,D12,D22,НК РФ,ПП №1562,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-231,D12,D23,НК РФ,ПП №468,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-232,D12,D24,НК РФ,270-ФЗ,"T04, T09",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,нет
ПАРА-233,D12,D25,НК РФ,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-234,D12,D26,НК РФ,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-235,D13,D14,КоАП РФ,121-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-236,D13,D15,КоАП РФ,260-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-237,D13,D16,КоАП РФ,271-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-238,D13,D17,КоАП РФ,Указ №467,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-239,D13,D18,КоАП РФ,Брошюра Минэка ВНЖ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-240,D13,D19,КоАП РФ,114-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-241,D13,D20,КоАП РФ,ПП №2573,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-242,D13,D21,КоАП РФ,ПП №1510,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-243,D13,D22,КоАП РФ,ПП №1562,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-244,D13,D23,КоАП РФ,ПП №468,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-245,D13,D24,КоАП РФ,270-ФЗ,T04,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-246,D13,D25,КоАП РФ,281-ФЗ,T10,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-247,D13,D26,КоАП РФ,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-248,D14,D15,121-ФЗ,260-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-249,D14,D16,121-ФЗ,271-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-250,D14,D17,121-ФЗ,Указ №467,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-251,D14,D18,121-ФЗ,Брошюра Минэка ВНЖ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-252,D14,D19,121-ФЗ,114-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-253,D14,D20,121-ФЗ,ПП №2573,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-254,D14,D21,121-ФЗ,ПП №1510,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-255,D14,D22,121-ФЗ,ПП №1562,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-256,D14,D23,121-ФЗ,ПП №468,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-257,D14,D24,121-ФЗ,270-ФЗ,T03,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-258,D14,D25,121-ФЗ,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-259,D14,D26,121-ФЗ,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-260,D15,D16,260-ФЗ,271-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-261,D15,D17,260-ФЗ,Указ №467,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-262,D15,D18,260-ФЗ,Брошюра Минэка ВНЖ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-263,D15,D19,260-ФЗ,114-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-264,D15,D20,260-ФЗ,ПП №2573,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-265,D15,D21,260-ФЗ,ПП №1510,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-266,D15,D22,260-ФЗ,ПП №1562,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-267,D15,D23,260-ФЗ,ПП №468,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-268,D15,D24,260-ФЗ,270-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-269,D15,D25,260-ФЗ,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-270,D15,D26,260-ФЗ,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-271,D16,D17,271-ФЗ,Указ №467,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-272,D16,D18,271-ФЗ,Брошюра Минэка ВНЖ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-273,D16,D19,271-ФЗ,114-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-274,D16,D20,271-ФЗ,ПП №2573,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-275,D16,D21,271-ФЗ,ПП №1510,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-276,D16,D22,271-ФЗ,ПП №1562,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-277,D16,D23,271-ФЗ,ПП №468,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-278,D16,D24,271-ФЗ,270-ФЗ,T09,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-279,D16,D25,271-ФЗ,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-280,D16,D26,271-ФЗ,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-281,D17,D18,Указ №467,Брошюра Минэка ВНЖ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-282,D17,D19,Указ №467,114-ФЗ,T02,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-283,D17,D20,Указ №467,ПП №2573,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-284,D17,D21,Указ №467,ПП №1510,T02,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-285,D17,D22,Указ №467,ПП №1562,T02,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-286,D17,D23,Указ №467,ПП №468,T02,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-287,D17,D24,Указ №467,270-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-288,D17,D25,Указ №467,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-289,D17,D26,Указ №467,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-290,D18,D19,Брошюра Минэка ВНЖ,114-ФЗ,T01,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-291,D18,D20,Брошюра Минэка ВНЖ,ПП №2573,T01,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-292,D18,D21,Брошюра Минэка ВНЖ,ПП №1510,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-293,D18,D22,Брошюра Минэка ВНЖ,ПП №1562,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-294,D18,D23,Брошюра Минэка ВНЖ,ПП №468,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-295,D18,D24,Брошюра Минэка ВНЖ,270-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-296,D18,D25,Брошюра Минэка ВНЖ,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-297,D18,D26,Брошюра Минэка ВНЖ,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-298,D19,D20,114-ФЗ,ПП №2573,T01,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-299,D19,D21,114-ФЗ,ПП №1510,"T02, T05",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,нет
ПАРА-300,D19,D22,114-ФЗ,ПП №1562,"T02, T05",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,нет
ПАРА-301,D19,D23,114-ФЗ,ПП №468,"T02, T05",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,нет
ПАРА-302,D19,D24,114-ФЗ,270-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-303,D19,D25,114-ФЗ,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-304,D19,D26,114-ФЗ,Договор ЕАЭС ст. 96-98,T06,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-305,D20,D21,ПП №2573,ПП №1510,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-306,D20,D22,ПП №2573,ПП №1562,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-307,D20,D23,ПП №2573,ПП №468,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-308,D20,D24,ПП №2573,270-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-309,D20,D25,ПП №2573,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-310,D20,D26,ПП №2573,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-311,D21,D22,ПП №1510,ПП №1562,"T02, T05",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,да
ПАРА-312,D21,D23,ПП №1510,ПП №468,"T02, T05",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,да
ПАРА-313,D21,D24,ПП №1510,270-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-314,D21,D25,ПП №1510,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-315,D21,D26,ПП №1510,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-316,D22,D23,ПП №1562,ПП №468,"T02, T05",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,да
ПАРА-317,D22,D24,ПП №1562,270-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-318,D22,D25,ПП №1562,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-319,D22,D26,ПП №1562,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-320,D23,D24,ПП №468,270-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-321,D23,D25,ПП №468,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-322,D23,D26,ПП №468,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-323,D24,D25,270-ФЗ,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-324,D24,D26,270-ФЗ,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-325,D25,D26,281-ФЗ,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-326,D01,D27,Памятка Нейрон,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-327,D02,D27,Пример выгрузки Нейрон,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-328,D03,D27,ВЦИОМ,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-329,D04,D27,Концепция 2026-2030,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-330,D05,D27,Концепция 2019-2025,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-331,D06,D27,109-ФЗ,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-332,D07,D27,План 30-р,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-333,D08,D27,План 4171-р,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-334,D09,D27,Клерк,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-335,D10,D27,Минэк страница,ПП №1375,T01,partial_overlap,средняя,тематическое/архивное сопоставление,B,нет,нет
ПАРА-336,D11,D27,115-ФЗ,ПП №1375,T01,partial_overlap,высокая,тематическое/архивное сопоставление,A,да,нет
ПАРА-337,D12,D27,НК РФ,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-338,D13,D27,КоАП РФ,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-339,D14,D27,121-ФЗ,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-340,D15,D27,260-ФЗ,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-341,D16,D27,271-ФЗ,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-342,D17,D27,Указ №467,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-343,D18,D27,Брошюра Минэка ВНЖ,ПП №1375,T01,partial_overlap,высокая,актуализация ПП2573 поправкой ПП1375,A,да,да
ПАРА-344,D19,D27,114-ФЗ,ПП №1375,T01,partial_overlap,средняя,тематическое/архивное сопоставление,B,нет,нет
ПАРА-345,D20,D27,ПП №2573,ПП №1375,T01,partial_overlap,высокая,актуализация ПП2573 поправкой ПП1375,A,да,да
ПАРА-346,D21,D27,ПП №1510,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-347,D22,D27,ПП №1562,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-348,D23,D27,ПП №468,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-349,D24,D27,270-ФЗ,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-350,D25,D27,281-ФЗ,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
ПАРА-351,D26,D27,Договор ЕАЭС ст. 96-98,ПП №1375,нет содержательной темы,not_comparable,низкая,тематическое/архивное сопоставление,C,нет,нет
