event_id,theme_id,theme,left_id,left_doc,right_id,right_doc,claim_left,evidence_right,status,risk,confidence,legal_coordinate,conclusion,manual_review,source_rank_left,source_rank_right,source_type_left,source_type_right,primary_act,reason,review_owner,closure_criteria,docx_link,pdf_link,visual_link
E069,T01,Инвестиционный ВНЖ,D10,Минэк страница,D11,115-ФЗ,Системное перекрестное сопоставление: Минэк страница ↔ 115-ФЗ.,"Тип сравнения: интегральное тематическое сопоставление; темы: T01, T04, T06, T07.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,2,1,ведомственная информация / snapshot,федеральный закон,115-ФЗ,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-190.docx,03_pair_reports/ПАРА-190.pdf,
E070,T04,"Правовое положение, трудовая деятельность, патенты",D10,Минэк страница,D12,НК РФ,Системное перекрестное сопоставление: Минэк страница ↔ НК РФ.,"Тип сравнения: интегральное тематическое сопоставление; темы: T04, T07.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,2,1,ведомственная информация / snapshot,кодекс / налоги,НК РФ,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-191.docx,03_pair_reports/ПАРА-191.pdf,
E071,T04,"Правовое положение, трудовая деятельность, патенты",D10,Минэк страница,D13,КоАП РФ,Системное перекрестное сопоставление: Минэк страница ↔ КоАП РФ.,"Тип сравнения: интегральное тематическое сопоставление; темы: T04, T07.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,2,1,ведомственная информация / snapshot,кодекс / ответственность,КоАП РФ,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-192.docx,03_pair_reports/ПАРА-192.pdf,
E072,T03,Миграционный учет и уведомления,D10,Минэк страница,D14,121-ФЗ,Системное перекрестное сопоставление: Минэк страница ↔ 121-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T03.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,2,1,ведомственная информация / snapshot,федеральный закон / эксперимент,121-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-193.docx,03_pair_reports/ПАРА-193.pdf,
E073,T02,ruID / целевой цифровой въезд / биометрия,D10,Минэк страница,D17,Указ №467,Системное перекрестное сопоставление: Минэк страница ↔ Указ №467.,Тип сравнения: тематическое сопоставление; темы: T02.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,2,1,ведомственная информация / snapshot,Указ Президента / цифровой профиль,Указ №467,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-196.docx,03_pair_reports/ПАРА-196.pdf,
E074,T01,Инвестиционный ВНЖ,D10,Минэк страница,D18,Брошюра Минэка ВНЖ,Системное перекрестное сопоставление: Минэк страница ↔ Брошюра Минэка ВНЖ.,"Тип сравнения: интегральное тематическое сопоставление; темы: T01, T14.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,2,2,ведомственная информация / snapshot,ведомственная брошюра / информационный материал,,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-197.docx,03_pair_reports/ПАРА-197.pdf,
E075,T01,Инвестиционный ВНЖ,D10,Минэк страница,D19,114-ФЗ,Системное перекрестное сопоставление: Минэк страница ↔ 114-ФЗ.,"Тип сравнения: интегральное тематическое сопоставление; темы: T01, T02, T05, T06.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,2,1,ведомственная информация / snapshot,федеральный закон,114-ФЗ,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-198.docx,03_pair_reports/ПАРА-198.pdf,
E076,T01,Инвестиционный ВНЖ,D10,Минэк страница,D20,ПП №2573,Системное перекрестное сопоставление: Минэк страница ↔ ПП №2573.,Тип сравнения: тематическое сопоставление; темы: T01.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,2,1,ведомственная информация / snapshot,постановление Правительства / критерии,ПП №2573,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-199.docx,03_pair_reports/ПАРА-199.pdf,
E077,T02,ruID / целевой цифровой въезд / биометрия,D10,Минэк страница,D21,ПП №1510,Системное перекрестное сопоставление: Минэк страница ↔ ПП №1510.,"Тип сравнения: интегральное тематическое сопоставление; темы: T02, T05.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,2,1,ведомственная информация / snapshot,постановление Правительства / ruID,ПП №1510,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-200.docx,03_pair_reports/ПАРА-200.pdf,
E078,T02,ruID / целевой цифровой въезд / биометрия,D10,Минэк страница,D22,ПП №1562,Системное перекрестное сопоставление: Минэк страница ↔ ПП №1562.,"Тип сравнения: интегральное тематическое сопоставление; темы: T02, T05.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,2,1,ведомственная информация / snapshot,постановление Правительства / изменения,ПП №1562,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-201.docx,03_pair_reports/ПАРА-201.pdf,
E079,T02,ruID / целевой цифровой въезд / биометрия,D10,Минэк страница,D23,ПП №468,Системное перекрестное сопоставление: Минэк страница ↔ ПП №468.,"Тип сравнения: интегральное тематическое сопоставление; темы: T02, T05.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,2,1,ведомственная информация / snapshot,постановление Правительства / изменения,ПП №468,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-202.docx,03_pair_reports/ПАРА-202.pdf,
E080,T03,Миграционный учет и уведомления,D10,Минэк страница,D24,270-ФЗ,Системное перекрестное сопоставление: Минэк страница ↔ 270-ФЗ.,"Тип сравнения: интегральное тематическое сопоставление; темы: T03, T04.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,2,1,ведомственная информация / snapshot,федеральный закон / изменения,270-ФЗ,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-203.docx,03_pair_reports/ПАРА-203.pdf,
E081,T14,Forensic/provenance layer,D10,Минэк страница,D25,281-ФЗ,Системное перекрестное сопоставление: Минэк страница ↔ 281-ФЗ.,Тип сравнения: provenance/архивное сопоставление; темы: нет содержательной темы.,not_comparable,низкий,0.55,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Содержательное сравнение не требуется; пара учтена для полноты all-to-all.,нет,2,1,ведомственная информация / snapshot,федеральный закон / КоАП,281-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-204.docx,03_pair_reports/ПАРА-204.pdf,
E082,T06,ЕАЭС и «Работа в ЕАЭС»,D10,Минэк страница,D26,Договор ЕАЭС ст. 96-98,Системное перекрестное сопоставление: Минэк страница ↔ Договор ЕАЭС ст. 96-98.,Тип сравнения: тематическое сопоставление; темы: T06.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,2,1,ведомственная информация / snapshot,международный договор,Договор ЕАЭС ст. 96-98,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-205.docx,03_pair_reports/ПАРА-205.pdf,
E083,T04,"Правовое положение, трудовая деятельность, патенты",D11,115-ФЗ,D12,НК РФ,Системное перекрестное сопоставление: 115-ФЗ ↔ НК РФ.,"Тип сравнения: интегральное тематическое сопоставление; темы: T04, T07, T09.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,1,1,федеральный закон,кодекс / налоги,115-ФЗ / НК РФ,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-206.docx,03_pair_reports/ПАРА-206.pdf,
E084,T04,"Правовое положение, трудовая деятельность, патенты",D11,115-ФЗ,D13,КоАП РФ,Системное перекрестное сопоставление: 115-ФЗ ↔ КоАП РФ.,"Тип сравнения: интегральное тематическое сопоставление; темы: T04, T07, T10.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,1,1,федеральный закон,кодекс / ответственность,115-ФЗ / КоАП РФ,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-207.docx,03_pair_reports/ПАРА-207.pdf,
E085,T08,Режим высылки и реестр контролируемых лиц,D11,115-ФЗ,D15,260-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ 260-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T08.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,федеральный закон,федеральный закон / контроль,115-ФЗ / 260-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-209.docx,03_pair_reports/ПАРА-209.pdf,
E086,T09,"Госпошлины, НДФЛ, патенты",D11,115-ФЗ,D16,271-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ 271-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T09.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,федеральный закон,федеральный закон / налоги,115-ФЗ / 271-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-210.docx,03_pair_reports/ПАРА-210.pdf,
E087,T01,Инвестиционный ВНЖ,D11,115-ФЗ,D18,Брошюра Минэка ВНЖ,Системное перекрестное сопоставление: 115-ФЗ ↔ Брошюра Минэка ВНЖ.,Тип сравнения: тематическое сопоставление; темы: T01.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,2,федеральный закон,ведомственная брошюра / информационный материал,115-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-212.docx,03_pair_reports/ПАРА-212.pdf,
E088,T01,Инвестиционный ВНЖ,D11,115-ФЗ,D19,114-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ 114-ФЗ.,"Тип сравнения: интегральное тематическое сопоставление; темы: T01, T06.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,1,1,федеральный закон,федеральный закон,115-ФЗ / 114-ФЗ,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-213.docx,03_pair_reports/ПАРА-213.pdf,
E089,T01,Инвестиционный ВНЖ,D11,115-ФЗ,D20,ПП №2573,Системное перекрестное сопоставление: 115-ФЗ ↔ ПП №2573.,Тип сравнения: тематическое сопоставление; темы: T01.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,федеральный закон,постановление Правительства / критерии,115-ФЗ / ПП №2573,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-214.docx,03_pair_reports/ПАРА-214.pdf,
E090,T04,"Правовое положение, трудовая деятельность, патенты",D11,115-ФЗ,D24,270-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ 270-ФЗ.,"Тип сравнения: интегральное тематическое сопоставление; темы: T04, T09.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,1,1,федеральный закон,федеральный закон / изменения,115-ФЗ / 270-ФЗ,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-218.docx,03_pair_reports/ПАРА-218.pdf,
E091,T10,КоАП и ответственность,D11,115-ФЗ,D25,281-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ 281-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T10.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,федеральный закон,федеральный закон / КоАП,115-ФЗ / 281-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-219.docx,03_pair_reports/ПАРА-219.pdf,
E092,T06,ЕАЭС и «Работа в ЕАЭС»,D11,115-ФЗ,D26,Договор ЕАЭС ст. 96-98,Системное перекрестное сопоставление: 115-ФЗ ↔ Договор ЕАЭС ст. 96-98.,Тип сравнения: тематическое сопоставление; темы: T06.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,федеральный закон,международный договор,115-ФЗ / Договор ЕАЭС ст. 96-98,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-220.docx,03_pair_reports/ПАРА-220.pdf,
E093,T04,"Правовое положение, трудовая деятельность, патенты",D12,НК РФ,D13,КоАП РФ,Системное перекрестное сопоставление: НК РФ ↔ КоАП РФ.,"Тип сравнения: интегральное тематическое сопоставление; темы: T04, T07.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,1,1,кодекс / налоги,кодекс / ответственность,НК РФ / КоАП РФ,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-221.docx,03_pair_reports/ПАРА-221.pdf,
E094,T09,"Госпошлины, НДФЛ, патенты",D12,НК РФ,D16,271-ФЗ,Системное перекрестное сопоставление: НК РФ ↔ 271-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T09.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,кодекс / налоги,федеральный закон / налоги,НК РФ / 271-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-224.docx,03_pair_reports/ПАРА-224.pdf,
E095,T04,"Правовое положение, трудовая деятельность, патенты",D12,НК РФ,D24,270-ФЗ,Системное перекрестное сопоставление: НК РФ ↔ 270-ФЗ.,"Тип сравнения: интегральное тематическое сопоставление; темы: T04, T09.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,1,1,кодекс / налоги,федеральный закон / изменения,НК РФ / 270-ФЗ,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-232.docx,03_pair_reports/ПАРА-232.pdf,
E096,T14,Forensic/provenance layer,D13,КоАП РФ,D17,Указ №467,Системное перекрестное сопоставление: КоАП РФ ↔ Указ №467.,Тип сравнения: provenance/архивное сопоставление; темы: нет содержательной темы.,not_comparable,низкий,0.55,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Содержательное сравнение не требуется; пара учтена для полноты all-to-all.,нет,1,1,кодекс / ответственность,Указ Президента / цифровой профиль,КоАП РФ / Указ №467,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-238.docx,03_pair_reports/ПАРА-238.pdf,
E097,T04,"Правовое положение, трудовая деятельность, патенты",D13,КоАП РФ,D24,270-ФЗ,Системное перекрестное сопоставление: КоАП РФ ↔ 270-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T04.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,кодекс / ответственность,федеральный закон / изменения,КоАП РФ / 270-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-245.docx,03_pair_reports/ПАРА-245.pdf,
E098,T10,КоАП и ответственность,D13,КоАП РФ,D25,281-ФЗ,Системное перекрестное сопоставление: КоАП РФ ↔ 281-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T10.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,кодекс / ответственность,федеральный закон / КоАП,КоАП РФ / 281-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-246.docx,03_pair_reports/ПАРА-246.pdf,
E099,T14,Forensic/provenance layer,D14,121-ФЗ,D22,ПП №1562,Системное перекрестное сопоставление: 121-ФЗ ↔ ПП №1562.,Тип сравнения: provenance/архивное сопоставление; темы: нет содержательной темы.,not_comparable,низкий,0.55,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Содержательное сравнение не требуется; пара учтена для полноты all-to-all.,нет,1,1,федеральный закон / эксперимент,постановление Правительства / изменения,121-ФЗ / ПП №1562,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-255.docx,03_pair_reports/ПАРА-255.pdf,
E100,T03,Миграционный учет и уведомления,D14,121-ФЗ,D24,270-ФЗ,Системное перекрестное сопоставление: 121-ФЗ ↔ 270-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T03.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,федеральный закон / эксперимент,федеральный закон / изменения,121-ФЗ / 270-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-257.docx,03_pair_reports/ПАРА-257.pdf,
E101,T14,Forensic/provenance layer,D16,271-ФЗ,D18,Брошюра Минэка ВНЖ,Системное перекрестное сопоставление: 271-ФЗ ↔ Брошюра Минэка ВНЖ.,Тип сравнения: provenance/архивное сопоставление; темы: нет содержательной темы.,not_comparable,низкий,0.55,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Содержательное сравнение не требуется; пара учтена для полноты all-to-all.,нет,1,2,федеральный закон / налоги,ведомственная брошюра / информационный материал,271-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-272.docx,03_pair_reports/ПАРА-272.pdf,
E102,T09,"Госпошлины, НДФЛ, патенты",D16,271-ФЗ,D24,270-ФЗ,Системное перекрестное сопоставление: 271-ФЗ ↔ 270-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T09.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,федеральный закон / налоги,федеральный закон / изменения,271-ФЗ / 270-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-278.docx,03_pair_reports/ПАРА-278.pdf,
E103,T02,ruID / целевой цифровой въезд / биометрия,D17,Указ №467,D19,114-ФЗ,Системное перекрестное сопоставление: Указ №467 ↔ 114-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T02.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,Указ Президента / цифровой профиль,федеральный закон,Указ №467 / 114-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-282.docx,03_pair_reports/ПАРА-282.pdf,
E104,T02,ruID / целевой цифровой въезд / биометрия,D17,Указ №467,D21,ПП №1510,Системное перекрестное сопоставление: Указ №467 ↔ ПП №1510.,Тип сравнения: тематическое сопоставление; темы: T02.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,Указ Президента / цифровой профиль,постановление Правительства / ruID,Указ №467 / ПП №1510,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-284.docx,03_pair_reports/ПАРА-284.pdf,
E105,T02,ruID / целевой цифровой въезд / биометрия,D17,Указ №467,D22,ПП №1562,Системное перекрестное сопоставление: Указ №467 ↔ ПП №1562.,Тип сравнения: тематическое сопоставление; темы: T02.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,Указ Президента / цифровой профиль,постановление Правительства / изменения,Указ №467 / ПП №1562,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-285.docx,03_pair_reports/ПАРА-285.pdf,
E106,T02,ruID / целевой цифровой въезд / биометрия,D17,Указ №467,D23,ПП №468,Системное перекрестное сопоставление: Указ №467 ↔ ПП №468.,Тип сравнения: тематическое сопоставление; темы: T02.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,Указ Президента / цифровой профиль,постановление Правительства / изменения,Указ №467 / ПП №468,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-286.docx,03_pair_reports/ПАРА-286.pdf,
E107,T14,Forensic/provenance layer,D17,Указ №467,D26,Договор ЕАЭС ст. 96-98,Системное перекрестное сопоставление: Указ №467 ↔ Договор ЕАЭС ст. 96-98.,Тип сравнения: provenance/архивное сопоставление; темы: нет содержательной темы.,not_comparable,низкий,0.55,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Содержательное сравнение не требуется; пара учтена для полноты all-to-all.,нет,1,1,Указ Президента / цифровой профиль,международный договор,Указ №467 / Договор ЕАЭС ст. 96-98,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-289.docx,03_pair_reports/ПАРА-289.pdf,
E108,T01,Инвестиционный ВНЖ,D18,Брошюра Минэка ВНЖ,D19,114-ФЗ,Системное перекрестное сопоставление: Брошюра Минэка ВНЖ ↔ 114-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T01.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,2,1,ведомственная брошюра / информационный материал,федеральный закон,114-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-290.docx,03_pair_reports/ПАРА-290.pdf,
E109,T01,Инвестиционный ВНЖ,D18,Брошюра Минэка ВНЖ,D20,ПП №2573,Системное перекрестное сопоставление: Брошюра Минэка ВНЖ ↔ ПП №2573.,Тип сравнения: тематическое сопоставление; темы: T01.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,2,1,ведомственная брошюра / информационный материал,постановление Правительства / критерии,ПП №2573,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-291.docx,03_pair_reports/ПАРА-291.pdf,
E110,T01,Инвестиционный ВНЖ,D19,114-ФЗ,D20,ПП №2573,Системное перекрестное сопоставление: 114-ФЗ ↔ ПП №2573.,Тип сравнения: тематическое сопоставление; темы: T01.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,федеральный закон,постановление Правительства / критерии,114-ФЗ / ПП №2573,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-298.docx,03_pair_reports/ПАРА-298.pdf,
E111,T02,ruID / целевой цифровой въезд / биометрия,D19,114-ФЗ,D21,ПП №1510,Системное перекрестное сопоставление: 114-ФЗ ↔ ПП №1510.,"Тип сравнения: интегральное тематическое сопоставление; темы: T02, T05.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,1,1,федеральный закон,постановление Правительства / ruID,114-ФЗ / ПП №1510,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-299.docx,03_pair_reports/ПАРА-299.pdf,
E112,T02,ruID / целевой цифровой въезд / биометрия,D19,114-ФЗ,D22,ПП №1562,Системное перекрестное сопоставление: 114-ФЗ ↔ ПП №1562.,"Тип сравнения: интегральное тематическое сопоставление; темы: T02, T05.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,1,1,федеральный закон,постановление Правительства / изменения,114-ФЗ / ПП №1562,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-300.docx,03_pair_reports/ПАРА-300.pdf,
